"Nazwa";"Typ";"Latitude";"Longitude"
"Przedszkole Niepubliczne Językowo – Muzyczne Calineczka";"kindergarten";"54.3768597";"18.605303"
"MegaMocni";"kindergarten";"54.3971132";"18.5950255"
"Przedszkole nr 4 ""Nad Potokiem""";"kindergarten";"54.4559738";"18.5497015"
"Przedszkole Niepubliczne Akademia Małych Odkrywców";"kindergarten";"54.4991572";"18.5421717"
"Przedszkole Montesori";"kindergarten";"54.455373";"18.5521598"
"MegaMocni";"kindergarten";"54.355572";"18.6148147"
"Żyrafa";"kindergarten";"54.3836911";"18.5912426"
"Przedszkole ne 61";"kindergarten";"54.3451267";"18.8298842"
"Niepubliczne Przedszkole Lew Leon";"kindergarten";"54.3760001";"18.620545"
"Przedszkole Specjalne Nr 72 o Profilu Terapeutycznym";"kindergarten";"54.4116454";"18.5933336"
"Publiczne Pozytywne Przedszkole nr 7";"kindergarten";"54.3338377";"18.5423695"
"Przedszkole nr 73 w Gdańsku";"kindergarten";"54.3534451";"18.6028627"
"Mali Zwyciezcy";"kindergarten";"54.3578366";"18.5883182"
"Wesoła kraina";"kindergarten";"54.3930634";"18.6098754"
"Elf Kids";"kindergarten";"54.3503952";"18.533923"
"Punkt Przedszkolny Słowiańska Wieża";"kindergarten";"54.4106215";"18.6007285"
"Casa Mia";"kindergarten";"54.4369507";"18.5613453"
"Przedszkole Niepubliczne Marchewka";"kindergarten";"54.3512182";"18.5506996"
"Żłobek Koniczynka";"kindergarten";"54.4995891";"18.5031294"
"Przedszkole MoreLove";"kindergarten";"54.4098118";"18.5973682"
"Smart Kids 2 - Nowa Letnica";"kindergarten";"54.3943141";"18.6438143"
"No Stress";"kindergarten";"54.393207";"18.6198333"
"Przedszkole publiczne Octopus";"kindergarten";"54.4309174";"18.4783906"
"Przedszkole Martolandia";"kindergarten";"54.3491467";"18.5821252"
"Klub Dziecięcy Esy Floresy";"kindergarten";"54.3871865";"18.5900125"
"Smart Kids";"kindergarten";"54.3509511";"18.5865927"
"Teddy";"kindergarten";"54.3637033";"18.5823821"
"Leśny Żłobek i Przedszkole";"kindergarten";"54.3638556";"18.5824706"
"Korczakowe Love";"kindergarten";"54.4737823";"18.4620134"
"Dzieci z Pasją";"kindergarten";"54.4735978";"18.4623911"
"Fantazja";"kindergarten";"54.3590583";"18.5823363"
"A-KuKu";"kindergarten";"54.3824285";"18.5861305"
"MegaMocni";"kindergarten";"54.4725957";"18.5148428"
"MegaMocni";"kindergarten";"54.3846955";"18.5814269"
"Smykowo";"kindergarten";"54.3816765";"18.5863731"
"Nadmorskie Przedszkole Montessori";"kindergarten";"54.422224";"18.589851"
"Bursztynowy Kompas";"kindergarten";"54.3899408";"18.6422418"
"MegaMocni";"kindergarten";"54.3675322";"18.692105"
"MegaMocni";"kindergarten";"54.3233446";"18.5521908"
"MegaMocni";"kindergarten";"54.3689375";"18.6106721"
"Przedszkole Fahrenheita";"kindergarten";"54.3489965";"18.5669532"
"Brak nazwy";"kindergarten";"54.3274068";"18.591203"
"Wpływ Natury";"kindergarten";"54.2918115";"18.5201825"
"Wesoła Kraina";"kindergarten";"54.4015502";"18.6478183"
"Wymarzone Przedszkole";"kindergarten";"54.4004946";"18.6468606"
"Stumilowy las";"kindergarten";"54.4686359";"18.50795"
"Publiczne Pozytywne Przedszkole nr 9";"kindergarten";"54.3575218";"18.4914934"
"Przedszkole nr 13";"kindergarten";"54.3946819";"18.5962835"
"Stacja Edukacja";"kindergarten";"54.426312";"18.4809347"
"Kolorowe Gniazdko";"kindergarten";"54.4188319";"18.4812209"
"Kolorowe Gniazdko";"kindergarten";"54.4187321";"18.4812579"
"Przedszkole nr 59";"kindergarten";"54.4887612";"18.4298739"
"Publiczne przedszkole Muszelka";"kindergarten";"54.2589345";"18.6352379"
"Brak nazwy";"kindergarten";"54.4483288";"18.5417157"
"Przedszkole Misia Wojtka";"kindergarten";"54.3599806";"18.5905319"
"Żłobek A-Kuku";"kindergarten";"54.3336749";"18.5429945"
"Przedszkole Niepubliczne Królestwo Fantazji";"kindergarten";"54.3670367";"18.5958459"
"Przedszkole Mali Przyjaciele";"kindergarten";"54.3330518";"18.5868166"
"Przedszkole nr 55";"kindergarten";"54.4713953";"18.4608861"
"Przedszkole nr 57";"kindergarten";"54.4722166";"18.4876567"
"Skrawek Nieba";"kindergarten";"54.3123496";"18.5608207"
"Słoneczna Kraina";"kindergarten";"54.4292223";"18.4723793"
"Lewiatan";"supermarket";"54.439393";"18.5729975"
