"Nazwa";"Typ";"Latitude";"Longitude"
"Opacka";"stop_position";"54.4139744";"18.56577"
"Lublewo Gdańskie, Konwaliowa";"stop_position";"54.2894499";"18.513202"
"Borkowo Topolowa 01";"stop_position";"54.298392";"18.5991847"
"Lipowa";"stop_position";"54.3399626";"18.5766624"
"Leszczynowa 01";"stop_position";"54.3310099";"18.558571"
"Jaśkowa Dolina 01";"stop_position";"54.3784539";"18.6063521"
"Babidół";"stop_position";"54.2627007";"18.4357579"
"Kolbudy, Os. Leśników";"stop_position";"54.2639063";"18.464181"
"Pręgowo, Szkoła";"stop_position";"54.2569905";"18.4779833"
"Pręgowo, Szkoła";"stop_position";"54.256823";"18.4783276"
"Kolbudy";"stop_position";"54.2701203";"18.4677324"
"Skarżyńskiego";"stop_position";"54.3863735";"18.6025552"
"Chrzanowskiego 03";"stop_position";"54.3804999";"18.5880519"
"Muzeum II Wojny Światowej 02";"stop_position";"54.3575648";"18.6589188"
"Aksamitna 01";"stop_position";"54.3584419";"18.6520983"
"Muzeum II Wojny Światowej 01";"stop_position";"54.3574434";"18.6593276"
"Rybaki Górne 01";"stop_position";"54.3581926";"18.6558405"
"Dworzec Główny 01";"stop_position";"54.3551694";"18.645539"
"Dworzec Główny 02";"stop_position";"54.3546991";"18.6453622"
"Brak nazwy";"stop_position";"54.3554008";"18.6457803"
"Dworzec Główny 08";"stop_position";"54.3562991";"18.6455683"
"Dworzec Główny 06";"stop_position";"54.3569559";"18.6457016"
"Hucisko";"stop_position";"54.3518491";"18.6455786"
"Łostowice Świętokrzyska 01";"stop_position";"54.3224798";"18.6057706"
"Niedźwiednik 02";"stop_position";"54.3803355";"18.5588989"
"Zwinisławy 02";"stop_position";"54.4687486";"18.4849603"
"Olgierda 01";"stop_position";"54.4781931";"18.5239687"
"Plac Górnośląski 02";"stop_position";"54.4833959";"18.5384535"
"Leśna Polana 02 (NŻ)";"stop_position";"54.4621757";"18.4534805"
"Paprykowa 02";"stop_position";"54.4677612";"18.4655032"
"Paprykowa 01";"stop_position";"54.4683597";"18.4667765"
"Szafranowa 01";"stop_position";"54.4658705";"18.4615025"
"Dąbrowa Centrum 01";"stop_position";"54.4739946";"18.4661206"
"Kameliowa 02";"stop_position";"54.4701728";"18.4682924"
"Anyżowa 02";"stop_position";"54.4745951";"18.4686485"
"Brodwino - Szkoła";"stop_position";"54.4560355";"18.5314848"
"Karwiny PKM 01";"stop_position";"54.4688799";"18.5077673"
"Podleśna 01";"stop_position";"54.467934";"18.5091577"
"Schronisko Sopotkowo";"stop_position";"54.4523072";"18.5416834"
"Schronisko Sopotkowo";"stop_position";"54.4527925";"18.5409968"
"Cmentarz";"stop_position";"54.4509157";"18.5482016"
"Chodowieckiego";"stop_position";"54.4503318";"18.5530571"
"Malczewskiego 02";"stop_position";"54.4495609";"18.5554145"
"Sopot PKP - Niepodległości 02";"stop_position";"54.4386144";"18.5606867"
"Karwiny PKM 02";"stop_position";"54.4690975";"18.5077482"
"Sopot Reja 01";"stop_position";"54.4314337";"18.5618509"
"Nałkowskiej 02";"stop_position";"54.4697854";"18.4990763"
"Źródło Marii 02";"stop_position";"54.4705792";"18.4947702"
"Gryfa Pomorskiego 01";"stop_position";"54.4677136";"18.4873578"
"Lidzka 01";"stop_position";"54.4757079";"18.5172158"
"Cmentarz";"stop_position";"54.4509435";"18.5494913"
"Myśliwska 02";"stop_position";"54.4711935";"18.4885436"
"Spokojna - Cmentarz";"stop_position";"54.4710342";"18.5220157"
"Olgierda 02";"stop_position";"54.4783986";"18.523761"
"Racławicka 01";"stop_position";"54.473486";"18.5147221"
"Centrum Nauki Experyment 01";"stop_position";"54.4975407";"18.5381471"
"Plac Górnośląski 01";"stop_position";"54.4834492";"18.5386383"
"Redłowo SKM - Park Technologiczny 02";"stop_position";"54.4920872";"18.5407656"
"Redłowo SKM - Park Technologiczny 01";"stop_position";"54.4927745";"18.5404721"
"Zwycięstwa - Wielkopolska 01";"stop_position";"54.4864561";"18.544895"
"Łowicka 01";"stop_position";"54.4808972";"18.5309684"
"Łowicka 02";"stop_position";"54.4811945";"18.5311224"
"Lidzka 02";"stop_position";"54.4756161";"18.516213"
"Racławicka 02";"stop_position";"54.4726084";"18.513482"
"Dąbrowa Miętowa";"stop_position";"54.4713989";"18.4501804"
"Piołunowa";"stop_position";"54.4743365";"18.4575205"
"Tymiankowa";"stop_position";"54.4724462";"18.4529295"
"Dąbrowa Centrum 02";"stop_position";"54.4744917";"18.46413"
"Górnicza - Damroki 02";"stop_position";"54.4681714";"18.4811918"
"Kowale Szkoła Metropolitalna 01";"stop_position";"54.3065722";"18.5694498"
"Bernadowska 01";"stop_position";"54.4630675";"18.5540097"
"Bernadowska 02";"stop_position";"54.4632788";"18.5538857"
"Kolibki 01";"stop_position";"54.4733408";"18.5540514"
"Nawigatorów 01";"stop_position";"54.4830357";"18.5489565"
"Orłowo SKM - ""Klif"" 02";"stop_position";"54.4759985";"18.5531599"
"Orłowo SKM - ""Klif"" 01";"stop_position";"54.4766391";"18.5532399"
"Orłowo SKM - Orłowska 02";"stop_position";"54.4788564";"18.552717"
"Orłowo SKM - Orłowska 01";"stop_position";"54.4796122";"18.5524688"
"Sopot Kamienny Potok SKM 01";"stop_position";"54.4593751";"18.5545808"
"Orłowo SKM - ""Klif"" 06";"stop_position";"54.4759339";"18.552935"
"Uniwersytet Medyczny 02";"stop_position";"54.3665589";"18.6340229"
"Traugutta";"stop_position";"54.3691043";"18.6297261"
"Sopot Kamienny Potok SKM 02";"stop_position";"54.4584631";"18.5547015"
"Oliwa ZOO 01";"stop_position";"54.4134954";"18.5353094"
"Cmentarz Oliwski";"stop_position";"54.4133995";"18.5572481"
"Gdynia Arena (NŻ)";"stop_position";"54.4988098";"18.5324867"
"Redłowo SKM";"stop_position";"54.4911063";"18.5370196"
"Redłowo SKM";"stop_position";"54.4912491";"18.5371516"
"Łużycka";"stop_position";"54.4942427";"18.5348388"
"Hallera";"stop_position";"54.4996714";"18.5417606"
"Brzechwy";"stop_position";"54.4727808";"18.4898447"
"Karwiny Tuwima";"stop_position";"54.4739368";"18.4847528"
"Stadion Miejski 01";"stop_position";"54.4921478";"18.5308138"
"Redłowo SKM 04";"stop_position";"54.4917073";"18.536747"
"Uczniowska 01";"stop_position";"54.4986905";"18.5033745"
"Witomino Centrum 02";"stop_position";"54.4977894";"18.5093586"
"Witomino Centrum 03";"stop_position";"54.49779";"18.5103895"
"Witomino Centrum 04";"stop_position";"54.4985824";"18.5077324"
"Witomino Sosnowa 02";"stop_position";"54.4984635";"18.4940666"
"Okrężna I";"stop_position";"54.4999216";"18.4706737"
"Amona 02";"stop_position";"54.4995842";"18.4452911"
"Chwarzno Sokółka 04";"stop_position";"54.4972156";"18.4377073"
"Chwarzno Sokółka 02";"stop_position";"54.4976013";"18.438052"
"Sokoła 02";"stop_position";"54.4986454";"18.4397887"
"Chwarzno Polanki 02";"stop_position";"54.4989322";"18.4327277"
"Chwarzno Polanki 01";"stop_position";"54.4989211";"18.4350814"
"Gradowa (NŻ)";"stop_position";"54.4857748";"18.4332085"
"Kamrowskiego";"stop_position";"54.4970646";"18.4307895"
"Wiczlino - Działki II";"stop_position";"54.4811592";"18.4419982"
"Wiczlino - Skrzyżowanie 03";"stop_position";"54.4906238";"18.4247882"
"Wiczlińska - Las (NŻ)";"stop_position";"54.4781703";"18.4511958"
"Wiczlińska - Śliska";"stop_position";"54.4833077";"18.4372247"
"Zaruskiego";"stop_position";"54.4945195";"18.430079"
"Filipkowskiego 02";"stop_position";"54.4881047";"18.4277136"
"Powstań Chłopskich";"stop_position";"54.4897313";"18.548395"
"Redłowo Szpital 01";"stop_position";"54.4896744";"18.5552028"
"Ruchu Oporu";"stop_position";"54.4923669";"18.5422006"
"Ruchu Oporu";"stop_position";"54.493599";"18.5414966"
"Agrarna 02";"stop_position";"54.376734";"18.5075326"
"Astronautów 01";"stop_position";"54.3771461";"18.5030713"
"Cylkowskiego 01";"stop_position";"54.4937737";"18.5517988"
"Cylkowskiego 02";"stop_position";"54.4942977";"18.5523717"
"Kopernika - Kościół 01";"stop_position";"54.4955849";"18.5511056"
"Kopernika - Kościół 02";"stop_position";"54.4962578";"18.5506996"
"Korczaka 01";"stop_position";"54.496389";"18.5445986"
"Szczeblewskiego 02";"stop_position";"54.4988033";"18.549177"
"Długa (NŻ)";"stop_position";"54.4961766";"18.5119935"
"Witomino Polna";"stop_position";"54.4950587";"18.5148125"
"Stawna";"stop_position";"54.4949802";"18.5087618"
"Stawna";"stop_position";"54.495532";"18.5083575"
"Witomino Leśniczówka 04";"stop_position";"54.4911057";"18.5126694"
"Witomino Leśniczówka 01";"stop_position";"54.4916171";"18.5111937"
"Kmicica (NŻ)";"stop_position";"54.4982635";"18.4164085"
"Potok Wiczliński (NŻ)";"stop_position";"54.4943292";"18.4198185"
"Orłowo - Molo";"stop_position";"54.4807433";"18.5639209"
"Mały Kack Sandomierska 01";"stop_position";"54.4866949";"18.5283313"
"Wojanowo";"stop_position";"54.2322559";"18.6021068"
"Owczarnia 01";"stop_position";"54.4128849";"18.481055"
"Sosnowiecka 01 (NŻ)";"stop_position";"54.4848836";"18.5350752"
"Karwiny Nowowiczlińska 02";"stop_position";"54.4742683";"18.4767444"
"Banino, Zbiornik";"stop_position";"54.3806325";"18.4152802"
"Sportowa 01";"stop_position";"54.3353253";"18.8134901"
"Naftowa 02";"stop_position";"54.3428817";"18.7699276"
"Bohaterów Monte Cassino 02";"stop_position";"54.2534263";"18.6489822"
"Szmaragdowa 01";"stop_position";"54.3147042";"18.5996727"
"Piekarnicza";"stop_position";"54.3511961";"18.5925032"
"Cedrowa 02";"stop_position";"54.339236";"18.5863449"
"Wiczlino - Skrzyżowanie 01";"stop_position";"54.4898314";"18.4250075"
"Cmentarna 01";"stop_position";"54.3408148";"18.6357447"
"Przymorze SKM 02";"stop_position";"54.4016207";"18.5768258"
"Piekarnicza";"stop_position";"54.3513878";"18.5923528"
"Głęboka 90";"stop_position";"54.3529234";"18.6724201"
"Targ Rybny";"stop_position";"54.353212";"18.6585328"
"Wiosny Ludów";"stop_position";"54.3573009";"18.6658382"
"Kaczeńce 03";"stop_position";"54.363305";"18.6992759"
"Steczka 01";"stop_position";"54.3596804";"18.74075"
"Sówki 02";"stop_position";"54.3614082";"18.7305665"
"Sówki 01";"stop_position";"54.3614704";"18.7296777"
"Grenadierów 02";"stop_position";"54.4762047";"18.504117"
"Węzeł Kliniczna";"stop_position";"54.3764206";"18.6305806"
"Mostostal";"stop_position";"54.3856681";"18.644596"
"Węzeł Kliniczna";"stop_position";"54.3768462";"18.6322457"
"Wyspiańskiego";"stop_position";"54.3766829";"18.6234785"
"Politechnika SKM 01";"stop_position";"54.3753838";"18.6263032"
"Zaspa 02";"stop_position";"54.399176";"18.5949648"
"Zaspa 01";"stop_position";"54.3995594";"18.5946852"
"Zaspa 03";"stop_position";"54.3998815";"18.5955688"
"Brama Oliwska";"stop_position";"54.3620888";"18.6415918"
"Chodowieckiego";"stop_position";"54.3640076";"18.6383914"
"Dworzec PKS";"stop_position";"54.3566079";"18.6433638"
"Klonowa";"stop_position";"54.3799042";"18.6030727"
"Miszewskiego 01";"stop_position";"54.3758086";"18.6152462"
"Traugutta";"stop_position";"54.3691197";"18.6297609"
"Uniwersytet Medyczny 01";"stop_position";"54.3668291";"18.6336307"
"Wojska Polskiego 01";"stop_position";"54.387058";"18.5902016"
"Wilka-Krzyżanowskiego 01";"stop_position";"54.3884968";"18.5815636"
"Zamenhofa 01";"stop_position";"54.3869233";"18.5849162"
"Galeria Bałtycka 01";"stop_position";"54.3823506";"18.5985134"
"Strzyża PKM 02";"stop_position";"54.391116";"18.5777215"
"Bażyńskiego 02";"stop_position";"54.399385";"18.5680839"
"Derdowskiego 02";"stop_position";"54.405583";"18.5636256"
"Obrońców Westerplatte 02";"stop_position";"54.4082787";"18.5629497"
"Tetmajera 02";"stop_position";"54.4026988";"18.5656167"
"Uniwersytet Gdański 02";"stop_position";"54.3956161";"18.5717761"
"Akademia Muzyczna";"stop_position";"54.344673";"18.6646598"
"Brama Wyżynna";"stop_position";"54.3508154";"18.6462435"
"Brama Żuławska";"stop_position";"54.3478598";"18.6694905"
"Chmielna 02";"stop_position";"54.3453447";"18.6575951"
"Okopowa";"stop_position";"54.3475094";"18.6468083"
"Żabi Kruk";"stop_position";"54.3464334";"18.6519997"
"Plac Solidarności 01";"stop_position";"54.3606532";"18.6476295"
"Stocznia SKM";"stop_position";"54.3642773";"18.6431546"
"Powstańców Warszawskich";"stop_position";"54.3511072";"18.636588"
"Górnicza 01";"stop_position";"54.4711371";"18.4855318"
"Rewerenda 01";"stop_position";"54.4522365";"18.4405672"
"Chwaszczyno - Nytbusz 02 (NŻ)";"stop_position";"54.4523371";"18.427518"
"Twarda";"stop_position";"54.3743056";"18.6311278"
"Twierdza Wisłoujście 03";"stop_position";"54.3932006";"18.6778126"
"Subisława";"stop_position";"54.4168612";"18.5737683"
"Pomorska 01";"stop_position";"54.4196105";"18.5841194"
"Chełm - Więckowskiego 01";"stop_position";"54.3339443";"18.6159189"
"Wiślinka Piaskowa";"stop_position";"54.3397616";"18.823493"
"Jana Pawła II";"stop_position";"54.3946536";"18.6015605"
"Stadion Miejski 04";"stop_position";"54.4939532";"18.5301459"
"Uniwersytet Gdański";"stop_position";"54.4458552";"18.554545"
"Brodwino 02";"stop_position";"54.4576387";"18.5345008"
"Łapino, Sapiehy";"stop_position";"54.2815092";"18.447189"
"Łapino, Sapiehy";"stop_position";"54.2816651";"18.4466111"
"Łapino";"stop_position";"54.2885232";"18.4440363"
"Skarżyńskiego";"stop_position";"54.3868394";"18.6010896"
"Olkuska - Łowicka 01";"stop_position";"54.4880031";"18.5233737"
"Cedry Małe, Długa";"stop_position";"54.2860324";"18.8419186"
"Rdestowa - Leśny Zakątek 02";"stop_position";"54.4638839";"18.457288"
"Chwaszczyno Synaka 01";"stop_position";"54.4474469";"18.4277546"
"Chwaszczyno - Lisia (NŻ)";"stop_position";"54.4351167";"18.4029489"
"Chwaszczyno Wiejska 01";"stop_position";"54.4460306";"18.42319"
"Chwaszczyno Centrum 01";"stop_position";"54.4425472";"18.4175872"
"Chwaszczyno Centrum 02";"stop_position";"54.4440819";"18.4197231"
"Firoga 02";"stop_position";"54.380938";"18.4822495"
"Lublewo Gdańskie, Polna";"stop_position";"54.2824184";"18.4906462"
"Lublewo Gdańskie";"stop_position";"54.2840361";"18.5030584"
"Cebertowicza";"stop_position";"54.3384478";"18.6050396"
"Cebertowicza";"stop_position";"54.3383981";"18.6055272"
"Wilanowska";"stop_position";"54.3364233";"18.598928"
"Plac Komorowskiego 03";"stop_position";"54.3825697";"18.6151356"
"Przemyska 02";"stop_position";"54.3331194";"18.5963734"
"Płocka";"stop_position";"54.3288408";"18.5988874"
"Sikorskiego";"stop_position";"54.3385081";"18.6184836"
"Płocka";"stop_position";"54.3290854";"18.5986856"
"Przemyska 01";"stop_position";"54.3334596";"18.5964099"
"Szadółki 02";"stop_position";"54.3283037";"18.5517711"
"Kamienny Potok SKM 06";"stop_position";"54.4575241";"18.5530539"
"Olszyńska 02";"stop_position";"54.3337688";"18.65719"
"Otomin Słoneczna Pętla 01";"stop_position";"54.3213618";"18.5048681"
"Bąkowo";"stop_position";"54.2929182";"18.5307587"
"Śródmieście SKM 02";"stop_position";"54.3477964";"18.6435747"
"Pohulanka";"stop_position";"54.3486598";"18.637038"
"Pohulanka";"stop_position";"54.3486568";"18.6365137"
"Witomino Centrum 01";"stop_position";"54.498922";"18.5107309"
"Oliwa 03";"stop_position";"54.4096362";"18.5671505"
"Politechnika";"stop_position";"54.3740237";"18.6214827"
"Gdańsk Przymorze - Uniwersytet";"stop_position";"54.4005916";"18.5768541"
"Gdańsk Główny";"stop_position";"54.3562474";"18.6438947"
"Gdańsk Oliwa";"stop_position";"54.4096085";"18.5719021"
"Gdansk Wrzeszcz";"stop_position";"54.3817783";"18.6051895"
"Gdańsk Oliwa";"stop_position";"54.409587";"18.5716976"
"Sopot";"stop_position";"54.4399949";"18.5620833"
"Gdynia Karwiny";"stop_position";"54.4698849";"18.5088041"
"Gdańsk Firoga";"stop_position";"54.3783037";"18.487096"
"Staniszewskiego";"stop_position";"54.4933328";"18.4363856"
"Barniewice, Topolowa";"stop_position";"54.4050627";"18.4363135"
"Górnicza - Kościół 02";"stop_position";"54.4669767";"18.4819481"
"Astronautów 02";"stop_position";"54.3771633";"18.5040537"
"Szybowcowa 01";"stop_position";"54.3789078";"18.4883848"
"Szybowcowa 02";"stop_position";"54.3789551";"18.4888756"
"Brak nazwy";"stop_position";"54.3714652";"18.6526111"
"Przystanek końcowy";"stop_position";"54.3554926";"18.6426945"
"Muzeum Narodowe 02";"stop_position";"54.3445317";"18.6487743"
"Sienna Grobla II";"stop_position";"54.3544443";"18.665897"
"Wiślinka Most";"stop_position";"54.3416149";"18.8246165"
"Potęgowska 01";"stop_position";"54.3313971";"18.5464426"
"Potęgowska 02";"stop_position";"54.331455";"18.5463957"
"Węzeł Groddecka";"stop_position";"54.3490488";"18.642126"
"Opera Bałtycka";"stop_position";"54.3720908";"18.6247423"
"Opera Bałtycka";"stop_position";"54.3721306";"18.6248077"
"Reja";"stop_position";"54.3788572";"18.6225214"
"Nad Jarem 02";"stop_position";"54.3549264";"18.6154104"
"Gdynia Arena (NŻ)";"stop_position";"54.4977442";"18.5323991"
"Myśliwska 01";"stop_position";"54.4709998";"18.4906066"
"Oczyszczalnia 03";"stop_position";"54.3418874";"18.757925"
"Cedry Małe, Długa";"stop_position";"54.2856671";"18.8431812"
"Sopocka 01";"stop_position";"54.4300675";"18.4785989"
"Polsat Plus Arena Gdańsk";"stop_position";"54.3870696";"18.6481332"
"Żaglowa - AmberExpo";"stop_position";"54.3824001";"18.6384637"
"Oliwa 08";"stop_position";"54.410163";"18.5656469"
"Wojska Polskiego 04";"stop_position";"54.3864925";"18.5920176"
"Wojska Polskiego 03";"stop_position";"54.3877251";"18.5905831"
"Instytut Med. Morskiej i Tropikalnej 02";"stop_position";"54.4873833";"18.5471502"
"Zaroślak 04";"stop_position";"54.3418041";"18.6416414"
"Kępna 02";"stop_position";"54.3589639";"18.7471723"
"Łostowice Świętokrzyska 02";"stop_position";"54.3231442";"18.6066429"
"Świętokrzyska 02";"stop_position";"54.3243831";"18.6036785"
"Świętokrzyska 01";"stop_position";"54.3243794";"18.6056793"
"Górecka 01";"stop_position";"54.355377";"18.7454582"
"Stogi - Górki Zachodnie";"stop_position";"54.3538944";"18.7838643"
"Narodowe Centrum Żeglarstwa";"stop_position";"54.3674723";"18.7807995"
"Krasickiego 02";"stop_position";"54.4061728";"18.6442654"
"Sołdka";"stop_position";"54.4261871";"18.4725875"
"Bora Komorowskiego 07";"stop_position";"54.4087757";"18.5867141"
"Halicka 01";"stop_position";"54.4911852";"18.5334931"
"Siedlce 06";"stop_position";"54.3484713";"18.6066859"
"Dworzec Główny";"stop_position";"54.3545473";"18.6455638"
"Siedlicka 01";"stop_position";"54.3700348";"18.6122923"
"Legionów";"stop_position";"54.3871217";"18.6107054"
"Niedźwiednik PKM 01";"stop_position";"54.3775585";"18.5745135"
"Nowy Port Zajezdnia 01";"stop_position";"54.3979692";"18.6732324"
"Lipowa 02";"stop_position";"54.470147";"18.4906179"
"Zielona Brama";"stop_position";"54.3475858";"18.6558204"
"Żabi Kruk";"stop_position";"54.3421167";"18.648945"
"Pomorska 04";"stop_position";"54.4191317";"18.5845144"
"Wilanowska";"stop_position";"54.3368199";"18.5993927"
"Lipuska";"stop_position";"54.3385914";"18.510837"
"Brak nazwy";"stop_position";"54.3714068";"18.6532436"
"Gdansk Wrzeszcz";"stop_position";"54.3818078";"18.6052335"
"Odrzańska";"stop_position";"54.3454028";"18.626213"
"Dworska";"stop_position";"54.4040631";"18.6240762"
"Gdańsk Śródmieście";"stop_position";"54.3468571";"18.6442195"
"Tarasy (Bema)";"stop_position";"54.3506184";"18.6320955"
"Makro 02";"stop_position";"54.337323";"18.7389769"
"Jabłoniowa Osiedle";"stop_position";"54.33164";"18.563435"
"Cieszyńskiego 02";"stop_position";"54.3382289";"18.6100062"
"Cieszyńskiego 01";"stop_position";"54.3381789";"18.6104796"
"Płocka";"stop_position";"54.3289489";"18.5999785"
"Malczewskiego 01";"stop_position";"54.4497163";"18.5554953"
"Bysewo 02";"stop_position";"54.3739767";"18.4625563"
"Chełm Witosa 02";"stop_position";"54.3371357";"18.617076"
"Chełm Witosa";"stop_position";"54.3371799";"18.6171456"
"Chełm Witosa 01";"stop_position";"54.3377235";"18.6177449"
"Sikorskiego";"stop_position";"54.3387908";"18.6184763"
"Kiełpino - Szkoła";"stop_position";"54.3397855";"18.5080631"
"Gostyńska Szpital 02";"stop_position";"54.3473988";"18.5107379"
"Knyszyńska 01";"stop_position";"54.3139732";"18.6032593"
"Władysława Jagiełły 02";"stop_position";"54.4726248";"18.5083224"
"Grenadierów 01";"stop_position";"54.4753483";"18.5047929"
"Mostostal";"stop_position";"54.3857622";"18.6449256"
"Gdańsk Jasień";"stop_position";"54.3536199";"18.5500425"
"Gdańsk Jasień";"stop_position";"54.3536528";"18.5500148"
"Zakopiańska";"stop_position";"54.3488021";"18.6191154"
"Zakopiańska";"stop_position";"54.3488033";"18.6185293"
"Firoga 01";"stop_position";"54.3798251";"18.4833202"
"Jelitkowo";"stop_position";"54.4232777";"18.5926384"
"Jelitkowo";"stop_position";"54.4233225";"18.592591"
"Pomorska 02";"stop_position";"54.4193335";"18.5843975"
"Kołobrzeska";"stop_position";"54.4034311";"18.5915217"
"Kołobrzeska";"stop_position";"54.4043555";"18.5910057"
"Bora Komorowskiego 01";"stop_position";"54.4080058";"18.5891984"
"Bora Komorowskiego 02";"stop_position";"54.4090171";"18.5887427"
"Czerwony Dwór";"stop_position";"54.4118694";"18.5879686"
"Czerwony Dwór";"stop_position";"54.4126311";"18.5877804"
"Piastowska 01";"stop_position";"54.4155636";"18.5870426"
"Piastowska";"stop_position";"54.416436";"18.586711"
"Osiedle Wejhera 02";"stop_position";"54.4203521";"18.584215"
"Osiedle Wejhera 01";"stop_position";"54.4204803";"18.5847306"
"Bajana 01";"stop_position";"54.3900011";"18.6082186"
"Legionów";"stop_position";"54.3868041";"18.6109184"
"Mickiewicza 01";"stop_position";"54.3833588";"18.6205848"
"Mickiewicza 03";"stop_position";"54.383994";"18.621959"
"Plac Komorowskiego 02";"stop_position";"54.3834465";"18.6146333"
"Stocznia Północna 02";"stop_position";"54.3716992";"18.6340313"
"Stocznia Północna 01";"stop_position";"54.3719649";"18.6337917"
"Twarda";"stop_position";"54.3746702";"18.6313369"
"Węzeł Kliniczna";"stop_position";"54.3766609";"18.6307706"
"Żwirki i Wigury 02";"stop_position";"54.391829";"18.6061569"
"Migowo";"stop_position";"54.3524378";"18.5757533"
"Migowo";"stop_position";"54.3526486";"18.575985"
"Jaśkowa Dolina 02";"stop_position";"54.3782675";"18.6066806"
"Helska";"stop_position";"54.4215516";"18.5880994"
"Helska";"stop_position";"54.421637";"18.5884915"
"Startowa";"stop_position";"54.3967486";"18.5979764"
"Startowa";"stop_position";"54.3970135";"18.5976117"
"Gdańsk Brętowo";"stop_position";"54.365241";"18.5736534"
"Galaktyczna 01";"stop_position";"54.4281212";"18.4862893"
"Cedrowa 01";"stop_position";"54.3394293";"18.5855478"
"Chałubińskiego";"stop_position";"54.3415664";"18.617725"
"Chałubińskiego";"stop_position";"54.3419017";"18.6176897"
"Odrzańska";"stop_position";"54.3454197";"18.6257237"
"Ciasna";"stop_position";"54.3491037";"18.6241873"
"Ciasna";"stop_position";"54.3491569";"18.6247222"
"Paska";"stop_position";"54.350089";"18.6303264"
"Paska";"stop_position";"54.3500044";"18.629813"
"Gospody 02";"stop_position";"54.4197913";"18.582435"
"Pomorska - Osiedle";"stop_position";"54.4180669";"18.5774326"
"Pomorska - Osiedle";"stop_position";"54.4182952";"18.5779893"
"Nowe Ogrody 02";"stop_position";"54.3521687";"18.6422003"
"Kielecka 02";"stop_position";"54.3336723";"18.5909525"
"Niegowska 01";"stop_position";"54.301479";"18.6312775"
"Niegowska 02";"stop_position";"54.3028226";"18.6309362"
"Nowiny 02";"stop_position";"54.3175722";"18.6295852"
"Nowiny 01";"stop_position";"54.3192623";"18.6301848"
"Ogrodowa 02";"stop_position";"54.3694878";"18.5710793"
"Ogrodowa 01";"stop_position";"54.3713279";"18.5701656"
"Potokowa 04";"stop_position";"54.3736146";"18.5682333"
"Przytulna";"stop_position";"54.3483269";"18.5333224"
"Płocka";"stop_position";"54.328898";"18.5998458"
"Płocka";"stop_position";"54.328924";"18.5985572"
"Płocka";"stop_position";"54.3292693";"18.5979379"
"Rejtana 02";"stop_position";"54.3280815";"18.6336794"
"Rejtana 01";"stop_position";"54.328425";"18.6339791"
"Rogalińska 01";"stop_position";"54.330888";"18.6005477"
"Rogalińska 02";"stop_position";"54.3312181";"18.6005246"
"Szczęśliwa";"stop_position";"54.3490804";"18.5282833"
"Urząd Dozoru Technicznego 01";"stop_position";"54.3158118";"18.6292412"
"Węzeł Karczemki";"stop_position";"54.3472499";"18.5284678"
"Węzeł Karczemki";"stop_position";"54.3473886";"18.5279826"
"Brętowo PKM 04";"stop_position";"54.3647594";"18.5725598"
"Życzliwa";"stop_position";"54.3452068";"18.5363349"
"Życzliwa";"stop_position";"54.3458142";"18.5333372"
"Fabryczna";"stop_position";"54.3534954";"18.4937885"
"Gostyńska Szpital 01";"stop_position";"54.3479488";"18.5107561"
"Inżynierska";"stop_position";"54.3516351";"18.5022093"
"Inżynierska";"stop_position";"54.3521918";"18.5005792"
"Karczemki";"stop_position";"54.3493509";"18.5105192"
"Karczemki";"stop_position";"54.3497268";"18.5124773"
"Kiełpino - Szkoła";"stop_position";"54.3395805";"18.50794"
"Kiełpino Górne 01";"stop_position";"54.3420436";"18.498867"
"Kiełpino Górne 02";"stop_position";"54.3420959";"18.4992122"
"Otomińska";"stop_position";"54.3435096";"18.5100683"
"Otomińska";"stop_position";"54.3441322";"18.5105542"
"Łapińska";"stop_position";"54.3394965";"18.5022992"
"Łapińska";"stop_position";"54.3397058";"18.5009666"
"Agrarna 03";"stop_position";"54.3760036";"18.5081005"
"Agrarna 01";"stop_position";"54.376354";"18.5097564"
"Dworkowa";"stop_position";"54.3444308";"18.681297"
"Węzeł Elbląska 01";"stop_position";"54.3489508";"18.6907101"
"Maki 01";"stop_position";"54.3450597";"18.6747463"
"Mjr Słabego";"stop_position";"54.3723991";"18.5221867"
"Mostek 02";"stop_position";"54.3490396";"18.6736723"
"Sierpowa";"stop_position";"54.3378655";"18.6741118"
"Sąsiedzka 01";"stop_position";"54.3709284";"18.5043371"
"Sąsiedzka 02";"stop_position";"54.3703899";"18.5039222"
"Złota Karczma 02";"stop_position";"54.374761";"18.5219358"
"Złota Karczma 01";"stop_position";"54.3749887";"18.5218577"
"Zawodzie";"stop_position";"54.339355";"18.6866939"
"Harfowa 02";"stop_position";"54.376475";"18.5249551"
"Matarnia PKM 01";"stop_position";"54.3744505";"18.5071525"
"Budapesztańska";"stop_position";"54.3558282";"18.5787184"
"Budapesztańska";"stop_position";"54.3557061";"18.5782682"
"Bysewo 03";"stop_position";"54.3750586";"18.4640508"
"Bysewo 04";"stop_position";"54.3753678";"18.4627493"
"Bysewo 01";"stop_position";"54.3737157";"18.4623858"
"Schronisko dla zwierząt ""Promyk"" 01";"stop_position";"54.3691656";"18.4622964"
"Schronisko dla zwierząt ""Promyk"" 02";"stop_position";"54.3694566";"18.4617176"
"Centrostal 02";"stop_position";"54.3654887";"18.4695849"
"Centrostal 01";"stop_position";"54.366396";"18.4677793"
