Nazwa;Typ;Latitude;Longitude;miasto;dzielnica
Płyta Redłowska 04;stop_position;54.4918249;18.5523493;Gdynia;Redłowo
Lipowa 01;stop_position;54.4701085;18.4908031;Gdynia;Wielki Kack
Brzechwy;stop_position;54.4736785;18.4896054;Gdynia;Karwiny
Kameliowa 01;stop_position;54.4708168;18.4679359;Gdynia;Dąbrowa
Szafranowa 02;stop_position;54.4652857;18.460265;Gdynia;Dąbrowa
Nawigatorów 02;stop_position;54.4823888;18.5499938;Gdynia;Orłowo
Zwycięstwa - Wielkopolska 02;stop_position;54.4844789;18.5464061;Gdynia;Orłowo
Kolibki 02;stop_position;54.4732226;18.553925;Gdynia;Orłowo
Pomorskie Szkoły Rzemiosł 02;stop_position;54.3621068;18.6111857;Gdańsk;Wrzeszcz Górny
Brama Oliwska 03;stop_position;54.3622255;18.641825;Gdańsk;Aniołki
Mostek 01;stop_position;54.3492354;18.6743944;Gdańsk;Śródmieście
Węzeł Elbląska 02;stop_position;54.3490068;18.6921512;Gdańsk;Rudniki
Park Naukowo - Technologiczny;stop_position;54.3546602;18.595644;Gdańsk;Suchanino
Dolne Młyny 01;stop_position;54.3665617;18.5685614;Gdańsk;Brętowo
Dom Pomocy Społecznej 02;stop_position;54.3099518;18.6199795;Gdańsk;Orunia - Święty Wojciech - Lipce
Brama Wyżynna 04;stop_position;54.3502693;18.6458053;Gdańsk;Śródmieście
Przywidzka 02;stop_position;54.3242906;18.5477498;Gdańsk;Jasień
Sobieszewska Pastwa 2 02;stop_position;54.3125822;18.8734252;Gdańsk;Wyspa Sobieszewska
Opacka 04;stop_position;54.4137094;18.5661658;Gdańsk;Oliwa
Zaroślak 02;stop_position;54.3417563;18.6424312;Gdańsk;Orunia - Święty Wojciech - Lipce
Chłopska 02;stop_position;54.4084337;18.5909614;Gdańsk;Przymorze Wielkie
Gdańsk Politechnika;stop_position;54.3741384;18.627363;Gdańsk;Aniołki
Gdańsk Główny;stop_position;54.3562744;18.6438291;Gdańsk;Śródmieście
Gdynia Karwiny;stop_position;54.4698847;18.508883;Gdynia;Mały Kack
Wiczlino - Działki I;stop_position;54.4818119;18.4372719;Gdynia;Chwarzno-Wiczlino
Płyta Redłowska 02;stop_position;54.4916556;18.55299;Gdynia;Redłowo
Strzyża PKM 03;stop_position;54.3910936;18.5781583;Gdańsk;Strzyża
Latarnia Morska;stop_position;54.4071694;18.6613633;Gdańsk;Przeróbka
Westerplatte;stop_position;54.402948;18.6809517;Gdańsk;Przeróbka
Brama Oliwska;stop_position;54.3620657;18.6415532;Gdańsk;Aniołki
Akademia Muzyczna;stop_position;54.3446147;18.6641921;Gdańsk;Śródmieście
Brama Żuławska;stop_position;54.3476663;18.6693516;Gdańsk;Śródmieście
Piecewska;stop_position;54.3583379;18.5870129;Gdańsk;Piecki-Migowo
Wiczlino - Skrzyżowanie 02;stop_position;54.4906745;18.4238533;Gdynia;Chwarzno-Wiczlino
Brama Wyżynna;stop_position;54.3504006;18.6460295;Gdańsk;Śródmieście
Okopowa;stop_position;54.3475698;18.6463088;Gdańsk;Śródmieście
Żabi Kruk;stop_position;54.3465988;18.6515297;Gdańsk;Śródmieście
Chmielna 01;stop_position;54.3454629;18.6570763;Gdańsk;Śródmieście
Plac Solidarności 02;stop_position;54.3603015;18.6479495;Gdańsk;Śródmieście
Hucisko;stop_position;54.351887;18.644998;Gdańsk;Śródmieście
Dworzec PKS;stop_position;54.3569744;18.6434415;Gdańsk;Śródmieście
Mazurska;stop_position;54.4084792;18.6320361;Gdańsk;Brzeźno
Subisława;stop_position;54.416718;18.5732595;Gdańsk;Żabianka-Wejhera-Jelitkowo-Tysiąclecia
Jelitkowo;stop_position;54.4232354;18.5926832;Gdańsk;Żabianka-Wejhera-Jelitkowo-Tysiąclecia
Bieszczadzka 02 (ŃŻ);stop_position;54.452402;18.4534094;Gdynia;Wielki Kack
Hucisko 03;stop_position;54.3517838;18.6443363;Gdańsk;Śródmieście
Chodowieckiego;stop_position;54.3639912;18.6383444;Gdańsk;Aniołki
Chełm Cienista 02;stop_position;54.3376167;18.6261785;Gdańsk;Chełm
Osowa PKP 02;stop_position;54.4207136;18.4519659;Gdańsk;Osowa
Niedźwiednik 01;stop_position;54.3800689;18.5594349;Gdańsk;Brętowo
Wczasy;stop_position;54.4091113;18.6280738;Gdańsk;Brzeźno
Reja;stop_position;54.3791802;18.6224499;Gdańsk;Wrzeszcz Dolny
Mickiewicza 02;stop_position;54.3827163;18.6218367;Gdańsk;Wrzeszcz Dolny
Kościuszki;stop_position;54.3883351;18.6224352;Gdańsk;Wrzeszcz Dolny
Dworska;stop_position;54.4048783;18.6247121;Gdańsk;Brzeźno
Wyspiańskiego;stop_position;54.3763292;18.6235692;Gdańsk;Wrzeszcz Dolny
Politechnika SKM 02;stop_position;54.3753925;18.6266951;Gdańsk;Wrzeszcz Dolny
Jana Pawła II;stop_position;54.3943199;18.6020306;Gdańsk;Zaspa-Rozstaje
Politechnika;stop_position;54.3740245;18.6214115;Gdańsk;Wrzeszcz Górny
Zaspa 04;stop_position;54.3992091;18.5950553;Gdańsk;Zaspa-Rozstaje
Bajana 02;stop_position;54.3896857;18.6084526;Gdańsk;Zaspa-Rozstaje
Żwirki i Wigury 01;stop_position;54.3921141;18.6058041;Gdańsk;Zaspa-Rozstaje
Plac Komorowskiego 01;stop_position;54.3837496;18.614411;Gdańsk;Wrzeszcz Dolny
Swojska 02;stop_position;54.3787445;18.6331605;Gdańsk;Młyniska
Śnieżna 02;stop_position;54.392257;18.6576846;Gdańsk;Letnica
Marynarki Polskiej 01;stop_position;54.3985821;18.6665651;Gdańsk;Nowy Port
Stocznia SKM;stop_position;54.3645819;18.6427422;Gdańsk;Młyniska
Hynka 01;stop_position;54.3969774;18.5887651;Gdańsk;Zaspa-Młyniec
Hynka 02;stop_position;54.3966844;18.5880923;Gdańsk;Zaspa-Młyniec
Gościnna 02;stop_position;54.3232099;18.631431;Gdańsk;Orunia - Święty Wojciech - Lipce
Gościnna 01;stop_position;54.3233064;18.6316514;Gdańsk;Orunia - Święty Wojciech - Lipce
Krasickiego 03;stop_position;54.406119;18.6441495;Gdańsk;Brzeźno
Toruńska 02;stop_position;54.344654;18.6451804;Gdańsk;Śródmieście
Olszyńska 01;stop_position;54.3340413;18.6551309;Gdańsk;Olszynka
Sobieszewo;stop_position;54.3463122;18.8152429;Gdańsk;Wyspa Sobieszewska
Sobieszewska Pastwa 1 01;stop_position;54.3190671;18.865597;Gdańsk;Wyspa Sobieszewska
Chwaszczyno, Świerkowa;stop_position;54.4251381;18.4321215;Chwaszczyno;
Chwaszczyno, Bogusława;stop_position;54.4305677;18.4398987;Chwaszczyno;
Chwaszczyno Boczna 71;stop_position;54.4432368;18.4018831;Chwaszczyno;
Płowce 01;stop_position;54.3558749;18.6303218;Gdańsk;Siedlce
Szczęśliwa;stop_position;54.3490907;18.5280524;Gdańsk;Jasień
Ergo Arena 03;stop_position;54.425749;18.5810174;Gdańsk;Żabianka-Wejhera-Jelitkowo-Tysiąclecia
Karczemki;stop_position;54.3503103;18.5095129;Gdańsk;Kokoszki
Zwycięstwa - Wielkopolska 04;stop_position;54.484887;18.5444285;Gdynia;Orłowo
Mały Kack Sandomierska 03;stop_position;54.4864742;18.5282839;Gdynia;Mały Kack
Zeusa;stop_position;54.4222331;18.4628432;Gdańsk;Osowa
Dąbrowa Centrum 04;stop_position;54.4733331;18.465192;Gdynia;Dąbrowa
Powstańców Warszawskich;stop_position;54.3510974;18.6360924;Gdańsk;Siedlce
Wielki Kack Starodworcowa 02;stop_position;54.4646451;18.4965526;Gdynia;Wielki Kack
Czarny Dwór;stop_position;54.407587;18.6138216;Gdańsk;Przymorze Wielkie
Otomin Sarnia;stop_position;54.3246461;18.5172294;Otomin;
Opera Bałtycka;stop_position;54.3720707;18.6247091;Gdańsk;Wrzeszcz Górny
Dworzec Główny 18;stop_position;54.355004;18.6452635;Gdańsk;Śródmieście
Opacka;stop_position;54.4136648;18.5655728;Gdańsk;Oliwa
Opacka;stop_position;54.4139744;18.56577;Gdańsk;Oliwa
Lublewo Gdańskie, Konwaliowa;stop_position;54.2894499;18.513202;Lublewo Gdańskie;
Borkowo Topolowa 01;stop_position;54.298392;18.5991847;Borkowo;
Lipowa;stop_position;54.3399626;18.5766624;Gdańsk;Ujeścisko - Łostowice
Leszczynowa 01;stop_position;54.3310099;18.558571;Gdańsk;Jasień
Jaśkowa Dolina 01;stop_position;54.3784539;18.6063521;Gdańsk;Wrzeszcz Górny
Babidół;stop_position;54.2627007;18.4357579;Babidół;
Kolbudy, Os. Leśników;stop_position;54.2639063;18.464181;Kolbudy;
Pręgowo, Szkoła;stop_position;54.2569905;18.4779833;Pręgowo;
Pręgowo, Szkoła;stop_position;54.256823;18.4783276;Pręgowo;
Kolbudy;stop_position;54.2701203;18.4677324;Kolbudy;
Skarżyńskiego;stop_position;54.3863735;18.6025552;Gdańsk;Wrzeszcz Dolny
Chrzanowskiego 03;stop_position;54.3804999;18.5880519;Gdańsk;Wrzeszcz Górny
Muzeum II Wojny Światowej 02;stop_position;54.3575648;18.6589188;Gdańsk;Śródmieście
Aksamitna 01;stop_position;54.3584419;18.6520983;Gdańsk;Śródmieście
Muzeum II Wojny Światowej 01;stop_position;54.3574434;18.6593276;Gdańsk;Śródmieście
Rybaki Górne 01;stop_position;54.3581926;18.6558405;Gdańsk;Śródmieście
Dworzec Główny 01;stop_position;54.3551694;18.645539;Gdańsk;Śródmieście
Dworzec Główny 02;stop_position;54.3546991;18.6453622;Gdańsk;Śródmieście
Brak nazwy;stop_position;54.3554008;18.6457803;Gdańsk;Śródmieście
Dworzec Główny 08;stop_position;54.3562991;18.6455683;Gdańsk;Śródmieście
Dworzec Główny 06;stop_position;54.3569559;18.6457016;Gdańsk;Śródmieście
Hucisko;stop_position;54.3518491;18.6455786;Gdańsk;Śródmieście
Łostowice Świętokrzyska 01;stop_position;54.3224798;18.6057706;Gdańsk;Orunia Górna - Gdańsk Południe
Niedźwiednik 02;stop_position;54.3803355;18.5588989;Gdańsk;Brętowo
Zwinisławy 02;stop_position;54.4687486;18.4849603;Gdynia;Wielki Kack
Olgierda 01;stop_position;54.4781931;18.5239687;Gdynia;Mały Kack
Plac Górnośląski 02;stop_position;54.4833959;18.5384535;Gdynia;Orłowo
Leśna Polana 02 (NŻ);stop_position;54.4621757;18.4534805;Gdynia;Dąbrowa
Paprykowa 02;stop_position;54.4677612;18.4655032;Gdynia;Dąbrowa
Paprykowa 01;stop_position;54.4683597;18.4667765;Gdynia;Dąbrowa
Szafranowa 01;stop_position;54.4658705;18.4615025;Gdynia;Dąbrowa
Dąbrowa Centrum 01;stop_position;54.4739946;18.4661206;Gdynia;Dąbrowa
Kameliowa 02;stop_position;54.4701728;18.4682924;Gdynia;Dąbrowa
Anyżowa 02;stop_position;54.4745951;18.4686485;Gdynia;Dąbrowa
Brodwino - Szkoła;stop_position;54.4560355;18.5314848;Sopot;
Karwiny PKM 01;stop_position;54.4688799;18.5077673;Gdynia;Wielki Kack
Podleśna 01;stop_position;54.467934;18.5091577;Gdynia;Wielki Kack
Schronisko Sopotkowo;stop_position;54.4523072;18.5416834;Sopot;
Schronisko Sopotkowo;stop_position;54.4527925;18.5409968;Sopot;
Cmentarz;stop_position;54.4509157;18.5482016;Sopot;
Chodowieckiego;stop_position;54.4503318;18.5530571;Sopot;
Malczewskiego 02;stop_position;54.4495609;18.5554145;Sopot;
Sopot PKP - Niepodległości 02;stop_position;54.4386144;18.5606867;Sopot;
Karwiny PKM 02;stop_position;54.4690975;18.5077482;Gdynia;Karwiny
Sopot Reja 01;stop_position;54.4314337;18.5618509;Sopot;
Nałkowskiej 02;stop_position;54.4697854;18.4990763;Gdynia;Karwiny
Źródło Marii 02;stop_position;54.4705792;18.4947702;Gdynia;Karwiny
Gryfa Pomorskiego 01;stop_position;54.4677136;18.4873578;Gdynia;Wielki Kack
Lidzka 01;stop_position;54.4757079;18.5172158;Gdynia;Mały Kack
Cmentarz;stop_position;54.4509435;18.5494913;Sopot;
Myśliwska 02;stop_position;54.4711935;18.4885436;Gdynia;Karwiny
Spokojna - Cmentarz;stop_position;54.4710342;18.5220157;Gdynia;Mały Kack
Olgierda 02;stop_position;54.4783986;18.523761;Gdynia;Mały Kack
Racławicka 01;stop_position;54.473486;18.5147221;Gdynia;Mały Kack
Centrum Nauki Experyment 01;stop_position;54.4975407;18.5381471;Gdynia;Wzgórze Świętego Maksymiliana
Plac Górnośląski 01;stop_position;54.4834492;18.5386383;Gdynia;Orłowo
Redłowo SKM - Park Technologiczny 02;stop_position;54.4920872;18.5407656;Gdynia;Redłowo
Redłowo SKM - Park Technologiczny 01;stop_position;54.4927745;18.5404721;Gdynia;Redłowo
Zwycięstwa - Wielkopolska 01;stop_position;54.4864561;18.544895;Gdynia;Redłowo
Łowicka 01;stop_position;54.4808972;18.5309684;Gdynia;Mały Kack
Łowicka 02;stop_position;54.4811945;18.5311224;Gdynia;Mały Kack
Lidzka 02;stop_position;54.4756161;18.516213;Gdynia;Mały Kack
Racławicka 02;stop_position;54.4726084;18.513482;Gdynia;Mały Kack
Dąbrowa Miętowa;stop_position;54.4713989;18.4501804;Gdynia;Dąbrowa
Piołunowa;stop_position;54.4743365;18.4575205;Gdynia;Dąbrowa
Tymiankowa;stop_position;54.4724462;18.4529295;Gdynia;Dąbrowa
Dąbrowa Centrum 02;stop_position;54.4744917;18.46413;Gdynia;Dąbrowa
Górnicza - Damroki 02;stop_position;54.4681714;18.4811918;Gdynia;Wielki Kack
Kowale Szkoła Metropolitalna 01;stop_position;54.3065722;18.5694498;Kowale;
Bernadowska 01;stop_position;54.4630675;18.5540097;Gdynia;Orłowo
Bernadowska 02;stop_position;54.4632788;18.5538857;Gdynia;Orłowo
Kolibki 01;stop_position;54.4733408;18.5540514;Gdynia;Orłowo
Nawigatorów 01;stop_position;54.4830357;18.5489565;Gdynia;Orłowo
"Orłowo SKM - ""Klif"" 02";stop_position;54.4759985;18.5531599;Gdynia;Orłowo
"Orłowo SKM - ""Klif"" 01";stop_position;54.4766391;18.5532399;Gdynia;Orłowo
Orłowo SKM - Orłowska 02;stop_position;54.4788564;18.552717;Gdynia;Orłowo
Orłowo SKM - Orłowska 01;stop_position;54.4796122;18.5524688;Gdynia;Orłowo
Sopot Kamienny Potok SKM 01;stop_position;54.4593751;18.5545808;Sopot;
"Orłowo SKM - ""Klif"" 06";stop_position;54.4759339;18.552935;Gdynia;Orłowo
Uniwersytet Medyczny 02;stop_position;54.3665589;18.6340229;Gdańsk;Aniołki
Traugutta;stop_position;54.3691043;18.6297261;Gdańsk;Aniołki
Sopot Kamienny Potok SKM 02;stop_position;54.4584631;18.5547015;Sopot;
Oliwa ZOO 01;stop_position;54.4134954;18.5353094;Gdańsk;Oliwa
Cmentarz Oliwski;stop_position;54.4133995;18.5572481;Gdańsk;Oliwa
Gdynia Arena (NŻ);stop_position;54.4988098;18.5324867;Gdynia;Wzgórze Świętego Maksymiliana
Redłowo SKM;stop_position;54.4911063;18.5370196;Gdynia;Mały Kack
Redłowo SKM;stop_position;54.4912491;18.5371516;Gdynia;Mały Kack
Łużycka;stop_position;54.4942427;18.5348388;Gdynia;Mały Kack
Hallera;stop_position;54.4996714;18.5417606;Gdynia;Wzgórze Świętego Maksymiliana
Brzechwy;stop_position;54.4727808;18.4898447;Gdynia;Karwiny
Karwiny Tuwima;stop_position;54.4739368;18.4847528;Gdynia;Karwiny
Stadion Miejski 01;stop_position;54.4921478;18.5308138;Gdynia;Mały Kack
Redłowo SKM 04;stop_position;54.4917073;18.536747;Gdynia;Mały Kack
Uczniowska 01;stop_position;54.4986905;18.5033745;Gdynia;Witomino
Witomino Centrum 02;stop_position;54.4977894;18.5093586;Gdynia;Witomino
Witomino Centrum 03;stop_position;54.49779;18.5103895;Gdynia;Witomino
Witomino Centrum 04;stop_position;54.4985824;18.5077324;Gdynia;Witomino
Witomino Sosnowa 02;stop_position;54.4984635;18.4940666;Gdynia;Witomino
Okrężna I;stop_position;54.4999216;18.4706737;Gdynia;Chwarzno-Wiczlino
Amona 02;stop_position;54.4995842;18.4452911;Gdynia;Chwarzno-Wiczlino
Chwarzno Sokółka 04;stop_position;54.4972156;18.4377073;Gdynia;Chwarzno-Wiczlino
Chwarzno Sokółka 02;stop_position;54.4976013;18.438052;Gdynia;Chwarzno-Wiczlino
Sokoła 02;stop_position;54.4986454;18.4397887;Gdynia;Chwarzno-Wiczlino
Chwarzno Polanki 02;stop_position;54.4989322;18.4327277;Gdynia;Chwarzno-Wiczlino
Chwarzno Polanki 01;stop_position;54.4989211;18.4350814;Gdynia;Chwarzno-Wiczlino
Gradowa (NŻ);stop_position;54.4857748;18.4332085;Gdynia;Chwarzno-Wiczlino
Kamrowskiego;stop_position;54.4970646;18.4307895;Gdynia;Chwarzno-Wiczlino
Wiczlino - Działki II;stop_position;54.4811592;18.4419982;Gdynia;Chwarzno-Wiczlino
Wiczlino - Skrzyżowanie 03;stop_position;54.4906238;18.4247882;Gdynia;Chwarzno-Wiczlino
Wiczlińska - Las (NŻ);stop_position;54.4781703;18.4511958;Gdynia;Chwarzno-Wiczlino
Wiczlińska - Śliska;stop_position;54.4833077;18.4372247;Gdynia;Chwarzno-Wiczlino
Zaruskiego;stop_position;54.4945195;18.430079;Gdynia;Chwarzno-Wiczlino
Filipkowskiego 02;stop_position;54.4881047;18.4277136;Gdynia;Chwarzno-Wiczlino
Powstań Chłopskich;stop_position;54.4897313;18.548395;Gdynia;Redłowo
Redłowo Szpital 01;stop_position;54.4896744;18.5552028;Gdynia;Redłowo
Ruchu Oporu;stop_position;54.4923669;18.5422006;Gdynia;Redłowo
Ruchu Oporu;stop_position;54.493599;18.5414966;Gdynia;Redłowo
Agrarna 02;stop_position;54.376734;18.5075326;Gdańsk;Matarnia
Astronautów 01;stop_position;54.3771461;18.5030713;Gdańsk;Matarnia
Cylkowskiego 01;stop_position;54.4937737;18.5517988;Gdynia;Redłowo
Cylkowskiego 02;stop_position;54.4942977;18.5523717;Gdynia;Redłowo
Kopernika - Kościół 01;stop_position;54.4955849;18.5511056;Gdynia;Redłowo
Kopernika - Kościół 02;stop_position;54.4962578;18.5506996;Gdynia;Redłowo
Korczaka 01;stop_position;54.496389;18.5445986;Gdynia;Redłowo
Szczeblewskiego 02;stop_position;54.4988033;18.549177;Gdynia;Wzgórze Świętego Maksymiliana
Długa (NŻ);stop_position;54.4961766;18.5119935;Gdynia;Witomino
Witomino Polna;stop_position;54.4950587;18.5148125;Gdynia;Witomino
Stawna;stop_position;54.4949802;18.5087618;Gdynia;Witomino
Stawna;stop_position;54.495532;18.5083575;Gdynia;Witomino
Witomino Leśniczówka 04;stop_position;54.4911057;18.5126694;Gdynia;Witomino
Witomino Leśniczówka 01;stop_position;54.4916171;18.5111937;Gdynia;Witomino
Kmicica (NŻ);stop_position;54.4982635;18.4164085;Gdynia;Chwarzno-Wiczlino
Potok Wiczliński (NŻ);stop_position;54.4943292;18.4198185;Gdynia;Chwarzno-Wiczlino
Orłowo - Molo;stop_position;54.4807433;18.5639209;Gdynia;Orłowo
Mały Kack Sandomierska 01;stop_position;54.4866949;18.5283313;Gdynia;Mały Kack
Wojanowo;stop_position;54.2322559;18.6021068;Juszkowo;
Owczarnia 01;stop_position;54.4128849;18.481055;Gdańsk;Osowa
Sosnowiecka 01 (NŻ);stop_position;54.4848836;18.5350752;Gdynia;Orłowo
Karwiny Nowowiczlińska 02;stop_position;54.4742683;18.4767444;Gdynia;Karwiny
Banino, Zbiornik;stop_position;54.3806325;18.4152802;Banino;
Sportowa 01;stop_position;54.3353253;18.8134901;Wiślinka;
Naftowa 02;stop_position;54.3428817;18.7699276;Gdańsk;Rudniki
Bohaterów Monte Cassino 02;stop_position;54.2534263;18.6489822;Pruszcz Gdański;Komarowo
Szmaragdowa 01;stop_position;54.3147042;18.5996727;Gdańsk;Orunia Górna - Gdańsk Południe
Piekarnicza;stop_position;54.3511961;18.5925032;Gdańsk;Siedlce
Cedrowa 02;stop_position;54.339236;18.5863449;Gdańsk;Ujeścisko - Łostowice
Wiczlino - Skrzyżowanie 01;stop_position;54.4898314;18.4250075;Gdynia;Chwarzno-Wiczlino
Cmentarna 01;stop_position;54.3408148;18.6357447;Gdańsk;Chełm
Przymorze SKM 02;stop_position;54.4016207;18.5768258;Gdańsk;Przymorze Małe
Piekarnicza;stop_position;54.3513878;18.5923528;Gdańsk;Siedlce
Głęboka 90;stop_position;54.3529234;18.6724201;Gdańsk;Śródmieście
Targ Rybny;stop_position;54.353212;18.6585328;Gdańsk;Śródmieście
Wiosny Ludów;stop_position;54.3573009;18.6658382;Gdańsk;Śródmieście
Kaczeńce 03;stop_position;54.363305;18.6992759;Gdańsk;Stogi
Steczka 01;stop_position;54.3596804;18.74075;Gdańsk;Krakowiec - Górki Zachodnie
Sówki 02;stop_position;54.3614082;18.7305665;Gdańsk;Krakowiec - Górki Zachodnie
Sówki 01;stop_position;54.3614704;18.7296777;Gdańsk;Krakowiec - Górki Zachodnie
Grenadierów 02;stop_position;54.4762047;18.504117;Gdynia;Mały Kack
Węzeł Kliniczna;stop_position;54.3764206;18.6305806;Gdańsk;Młyniska
Mostostal;stop_position;54.3856681;18.644596;Gdańsk;Letnica
Węzeł Kliniczna;stop_position;54.3768462;18.6322457;Gdańsk;Młyniska
Wyspiańskiego;stop_position;54.3766829;18.6234785;Gdańsk;Wrzeszcz Dolny
Politechnika SKM 01;stop_position;54.3753838;18.6263032;Gdańsk;Wrzeszcz Dolny
Zaspa 02;stop_position;54.399176;18.5949648;Gdańsk;Zaspa-Rozstaje
Zaspa 01;stop_position;54.3995594;18.5946852;Gdańsk;Zaspa-Rozstaje
Zaspa 03;stop_position;54.3998815;18.5955688;Gdańsk;Zaspa-Rozstaje
Brama Oliwska;stop_position;54.3620888;18.6415918;Gdańsk;Aniołki
Chodowieckiego;stop_position;54.3640076;18.6383914;Gdańsk;Aniołki
Dworzec PKS;stop_position;54.3566079;18.6433638;Gdańsk;Śródmieście
Klonowa;stop_position;54.3799042;18.6030727;Gdańsk;Wrzeszcz Górny
Miszewskiego 01;stop_position;54.3758086;18.6152462;Gdańsk;Wrzeszcz Górny
Traugutta;stop_position;54.3691197;18.6297609;Gdańsk;Aniołki
Uniwersytet Medyczny 01;stop_position;54.3668291;18.6336307;Gdańsk;Aniołki
Wojska Polskiego 01;stop_position;54.387058;18.5902016;Gdańsk;Strzyża
Wilka-Krzyżanowskiego 01;stop_position;54.3884968;18.5815636;Gdańsk;Strzyża
Zamenhofa 01;stop_position;54.3869233;18.5849162;Gdańsk;Strzyża
Galeria Bałtycka 01;stop_position;54.3823506;18.5985134;Gdańsk;Wrzeszcz Górny
Strzyża PKM 02;stop_position;54.391116;18.5777215;Gdańsk;Strzyża
Bażyńskiego 02;stop_position;54.399385;18.5680839;Gdańsk;Oliwa
Derdowskiego 02;stop_position;54.405583;18.5636256;Gdańsk;Oliwa
Obrońców Westerplatte 02;stop_position;54.4082787;18.5629497;Gdańsk;Oliwa
Tetmajera 02;stop_position;54.4026988;18.5656167;Gdańsk;Oliwa
Uniwersytet Gdański 02;stop_position;54.3956161;18.5717761;Gdańsk;Oliwa
Akademia Muzyczna;stop_position;54.344673;18.6646598;Gdańsk;Śródmieście
Brama Wyżynna;stop_position;54.3508154;18.6462435;Gdańsk;Śródmieście
Brama Żuławska;stop_position;54.3478598;18.6694905;Gdańsk;Śródmieście
Chmielna 02;stop_position;54.3453447;18.6575951;Gdańsk;Śródmieście
Okopowa;stop_position;54.3475094;18.6468083;Gdańsk;Śródmieście
Żabi Kruk;stop_position;54.3464334;18.6519997;Gdańsk;Śródmieście
Plac Solidarności 01;stop_position;54.3606532;18.6476295;Gdańsk;Śródmieście
Stocznia SKM;stop_position;54.3642773;18.6431546;Gdańsk;Młyniska
Powstańców Warszawskich;stop_position;54.3511072;18.636588;Gdańsk;Siedlce
Górnicza 01;stop_position;54.4711371;18.4855318;Gdynia;Wielki Kack
Rewerenda 01;stop_position;54.4522365;18.4405672;Gdynia;Wielki Kack
Chwaszczyno - Nytbusz 02 (NŻ);stop_position;54.4523371;18.427518;Chwaszczyno;
Twarda;stop_position;54.3743056;18.6311278;Gdańsk;Młyniska
Twierdza Wisłoujście 03;stop_position;54.3932006;18.6778126;Gdańsk;Przeróbka
Subisława;stop_position;54.4168612;18.5737683;Gdańsk;Żabianka-Wejhera-Jelitkowo-Tysiąclecia
Pomorska 01;stop_position;54.4196105;18.5841194;Gdańsk;Żabianka-Wejhera-Jelitkowo-Tysiąclecia
Chełm - Więckowskiego 01;stop_position;54.3339443;18.6159189;Gdańsk;Chełm
Wiślinka Piaskowa;stop_position;54.3397616;18.823493;Wiślinka;
Jana Pawła II;stop_position;54.3946536;18.6015605;Gdańsk;Zaspa-Rozstaje
Stadion Miejski 04;stop_position;54.4939532;18.5301459;Gdynia;Mały Kack
Uniwersytet Gdański;stop_position;54.4458552;18.554545;Sopot;
Brodwino 02;stop_position;54.4576387;18.5345008;Sopot;Brodwino
Łapino, Sapiehy;stop_position;54.2815092;18.447189;Łapino;
Łapino, Sapiehy;stop_position;54.2816651;18.4466111;Łapino;
Łapino;stop_position;54.2885232;18.4440363;Łapino;
Skarżyńskiego;stop_position;54.3868394;18.6010896;Gdańsk;Zaspa-Młyniec
Olkuska - Łowicka 01;stop_position;54.4880031;18.5233737;Gdynia;Mały Kack
Cedry Małe, Długa;stop_position;54.2860324;18.8419186;Cedry Małe;
Rdestowa - Leśny Zakątek 02;stop_position;54.4638839;18.457288;Gdynia;Dąbrowa
Chwaszczyno Synaka 01;stop_position;54.4474469;18.4277546;Chwaszczyno;
Chwaszczyno - Lisia (NŻ);stop_position;54.4351167;18.4029489;Chwaszczyno;
Chwaszczyno Wiejska 01;stop_position;54.4460306;18.42319;Chwaszczyno;
Chwaszczyno Centrum 01;stop_position;54.4425472;18.4175872;Chwaszczyno;
Chwaszczyno Centrum 02;stop_position;54.4440819;18.4197231;Chwaszczyno;
Firoga 02;stop_position;54.380938;18.4822495;Gdańsk;Matarnia
Lublewo Gdańskie, Polna;stop_position;54.2824184;18.4906462;Lublewo Gdańskie;
Lublewo Gdańskie;stop_position;54.2840361;18.5030584;Lublewo Gdańskie;
Cebertowicza;stop_position;54.3384478;18.6050396;Gdańsk;Chełm
Cebertowicza;stop_position;54.3383981;18.6055272;Gdańsk;Chełm
Wilanowska;stop_position;54.3364233;18.598928;Gdańsk;Chełm
Plac Komorowskiego 03;stop_position;54.3825697;18.6151356;Gdańsk;Wrzeszcz Dolny
Przemyska 02;stop_position;54.3331194;18.5963734;Gdańsk;Chełm
Płocka;stop_position;54.3288408;18.5988874;Gdańsk;Chełm
Sikorskiego;stop_position;54.3385081;18.6184836;Gdańsk;Chełm
Płocka;stop_position;54.3290854;18.5986856;Gdańsk;Chełm
Przemyska 01;stop_position;54.3334596;18.5964099;Gdańsk;Chełm
Szadółki 02;stop_position;54.3283037;18.5517711;Gdańsk;Jasień
Kamienny Potok SKM 06;stop_position;54.4575241;18.5530539;Sopot;
Olszyńska 02;stop_position;54.3337688;18.65719;Gdańsk;Olszynka
Otomin Słoneczna Pętla 01;stop_position;54.3213618;18.5048681;Otomin;
Bąkowo;stop_position;54.2929182;18.5307587;Bąkowo;
Śródmieście SKM 02;stop_position;54.3477964;18.6435747;Gdańsk;Śródmieście
Pohulanka;stop_position;54.3486598;18.637038;Gdańsk;Chełm
Pohulanka;stop_position;54.3486568;18.6365137;Gdańsk;Chełm
Witomino Centrum 01;stop_position;54.498922;18.5107309;Gdynia;Witomino
Oliwa 03;stop_position;54.4096362;18.5671505;Gdańsk;Oliwa
