Nazwa;Typ;Latitude;Longitude;miasto;dzielnica
Morskie Przedszkole Niepubliczne;kindergarten;54.3326083;18.5972842;Gdańsk;Chełm
Brak nazwy;kindergarten;54.4965286;18.5431318;Gdynia;Redłowo
Przedszkole nr 50;kindergarten;54.473049;18.4684559;Gdynia;Dąbrowa
Przedszkole Stonoga;kindergarten;54.4729836;18.4888724;Gdynia;Karwiny
Tęczowa Przygoda;kindergarten;54.3946645;18.4023836;Banino;
Przedszkole nr 53;kindergarten;54.4922414;18.421294;Gdynia;Chwarzno-Wiczlino
Kotek Mamrotek;kindergarten;54.3313254;18.5574191;Gdańsk;Jasień
Iskierka;kindergarten;54.3664617;18.6301927;Gdańsk;Aniołki
Bajkowy Domek;kindergarten;54.3188757;18.5847376;Gdańsk;Ujeścisko - Łostowice
Przedszkole;kindergarten;54.3962371;18.5902802;Gdańsk;Zaspa-Młyniec
Przedszkole nr 54;kindergarten;54.4719921;18.4970531;Gdynia;Karwiny
Biały Kotek;kindergarten;54.4029158;18.570165;Gdańsk;Oliwa
Niezapominajka;kindergarten;54.3961417;18.4088279;Banino;
Chrześcijańskie Przedszkole Montessori nr 2;kindergarten;54.3257583;18.6007855;Gdańsk;Ujeścisko - Łostowice
Przedszkole Tygryskowa Kraina;kindergarten;54.3488274;18.5586746;Gdańsk;Piecki-Migowo
Brak nazwy;kindergarten;54.302214;18.5878042;Borkowo;
"Przedszkole niepubliczne ""Little Harvard""";kindergarten;54.4048997;18.575979;Gdańsk;Przymorze Małe
Przedszkolandia;kindergarten;54.391269;18.4062521;Banino;
Przedszkole Niepubliczne Językowo – Muzyczne Calineczka;kindergarten;54.3768597;18.605303;Gdańsk;Wrzeszcz Górny
MegaMocni;kindergarten;54.3971132;18.5950255;Gdańsk;Zaspa-Młyniec
"Przedszkole nr 4 ""Nad Potokiem""";kindergarten;54.4559738;18.5497015;Sopot;
Przedszkole Niepubliczne Akademia Małych Odkrywców;kindergarten;54.4991572;18.5421717;Gdynia;Wzgórze Świętego Maksymiliana
Przedszkole Montesori;kindergarten;54.455373;18.5521598;Sopot;
MegaMocni;kindergarten;54.355572;18.6148147;Gdańsk;Suchanino
Żyrafa;kindergarten;54.3836911;18.5912426;Gdańsk;Wrzeszcz Górny
Przedszkole ne 61;kindergarten;54.3451267;18.8298842;Gdańsk;Wyspa Sobieszewska
Niepubliczne Przedszkole Lew Leon;kindergarten;54.3760001;18.620545;Gdańsk;Wrzeszcz Górny
Przedszkole Specjalne Nr 72 o Profilu Terapeutycznym;kindergarten;54.4116454;18.5933336;Gdańsk;Przymorze Wielkie
Publiczne Pozytywne Przedszkole nr 7;kindergarten;54.3338377;18.5423695;Gdańsk;Jasień
Przedszkole nr 73 w Gdańsku;kindergarten;54.3534451;18.6028627;Gdańsk;Suchanino
Mali Zwyciezcy;kindergarten;54.3578366;18.5883182;Gdańsk;Piecki-Migowo
Wesoła kraina;kindergarten;54.3930634;18.6098754;Gdańsk;Zaspa-Rozstaje
Elf Kids;kindergarten;54.3503952;18.533923;Gdańsk;Jasień
Punkt Przedszkolny Słowiańska Wieża;kindergarten;54.4106215;18.6007285;Gdańsk;Przymorze Wielkie
Casa Mia;kindergarten;54.4369507;18.5613453;Sopot;
Przedszkole Niepubliczne Marchewka;kindergarten;54.3512182;18.5506996;Gdańsk;Jasień
Żłobek Koniczynka;kindergarten;54.4995891;18.5031294;Gdynia;Witomino
Przedszkole MoreLove;kindergarten;54.4098118;18.5973682;Gdańsk;Przymorze Wielkie
Smart Kids 2 - Nowa Letnica;kindergarten;54.3943141;18.6438143;Gdańsk;Letnica
No Stress;kindergarten;54.393207;18.6198333;Gdańsk;Wrzeszcz Dolny
Przedszkole publiczne Octopus;kindergarten;54.4309174;18.4783906;Gdańsk;Osowa
Przedszkole Martolandia;kindergarten;54.3491467;18.5821252;Gdańsk;Piecki-Migowo
Klub Dziecięcy Esy Floresy;kindergarten;54.3871865;18.5900125;Gdańsk;Strzyża
Smart Kids;kindergarten;54.3509511;18.5865927;Gdańsk;Piecki-Migowo
Teddy;kindergarten;54.3637033;18.5823821;Gdańsk;Piecki-Migowo
Leśny Żłobek i Przedszkole;kindergarten;54.3638556;18.5824706;Gdańsk;Piecki-Migowo
Korczakowe Love;kindergarten;54.4737823;18.4620134;Gdynia;Dąbrowa
Dzieci z Pasją;kindergarten;54.4735978;18.4623911;Gdynia;Dąbrowa
Fantazja;kindergarten;54.3590583;18.5823363;Gdańsk;Piecki-Migowo
A-KuKu;kindergarten;54.3824285;18.5861305;Gdańsk;Wrzeszcz Górny
MegaMocni;kindergarten;54.4725957;18.5148428;Gdynia;Mały Kack
MegaMocni;kindergarten;54.3846955;18.5814269;Gdańsk;Strzyża
Smykowo;kindergarten;54.3816765;18.5863731;Gdańsk;Wrzeszcz Górny
Nadmorskie Przedszkole Montessori;kindergarten;54.422224;18.589851;Gdańsk;Żabianka-Wejhera-Jelitkowo-Tysiąclecia
Bursztynowy Kompas;kindergarten;54.3899408;18.6422418;Gdańsk;Letnica
MegaMocni;kindergarten;54.3675322;18.692105;Gdańsk;Stogi
MegaMocni;kindergarten;54.3233446;18.5521908;Gdańsk;Jasień
MegaMocni;kindergarten;54.3689375;18.6106721;Gdańsk;Wrzeszcz Górny
Przedszkole Fahrenheita;kindergarten;54.3489965;18.5669532;Gdańsk;Piecki-Migowo
Brak nazwy;kindergarten;54.3274068;18.591203;Gdańsk;Ujeścisko - Łostowice
Wpływ Natury;kindergarten;54.2918115;18.5201825;Lublewo Gdańskie;
Wesoła Kraina;kindergarten;54.4015502;18.6478183;Gdańsk;Letnica
Wymarzone Przedszkole;kindergarten;54.4004946;18.6468606;Gdańsk;Letnica
Stumilowy las;kindergarten;54.4686359;18.50795;Gdynia;Wielki Kack
Publiczne Pozytywne Przedszkole nr 9;kindergarten;54.3575218;18.4914934;Gdańsk;Kokoszki
Przedszkole nr 13;kindergarten;54.3946819;18.5962835;Gdańsk;Zaspa-Młyniec
Stacja Edukacja;kindergarten;54.426312;18.4809347;Gdańsk;Osowa
Kolorowe Gniazdko;kindergarten;54.4188319;18.4812209;Gdańsk;Osowa
Kolorowe Gniazdko;kindergarten;54.4187321;18.4812579;Gdańsk;Osowa
Przedszkole nr 59;kindergarten;54.4887612;18.4298739;Gdynia;Chwarzno-Wiczlino
Publiczne przedszkole Muszelka;kindergarten;54.2589345;18.6352379;Pruszcz Gdański;Śródmieście
Brak nazwy;kindergarten;54.4483288;18.5417157;Sopot;
Przedszkole Misia Wojtka;kindergarten;54.3599806;18.5905319;Gdańsk;Piecki-Migowo
Żłobek A-Kuku;kindergarten;54.3336749;18.5429945;Gdańsk;Jasień
Przedszkole Niepubliczne Królestwo Fantazji;kindergarten;54.3670367;18.5958459;Gdańsk;Wrzeszcz Górny
Przedszkole Mali Przyjaciele;kindergarten;54.3330518;18.5868166;Gdańsk;Ujeścisko - Łostowice
Przedszkole nr 55;kindergarten;54.4713953;18.4608861;Gdynia;Dąbrowa
Przedszkole nr 57;kindergarten;54.4722166;18.4876567;Gdynia;Karwiny
Skrawek Nieba;kindergarten;54.3123496;18.5608207;Kowale;
Słoneczna Kraina;kindergarten;54.4292223;18.4723793;Gdańsk;Osowa
Lewiatan;supermarket;54.439393;18.5729975;Sopot;
Kaufland;supermarket;54.3368014;18.6205902;Gdańsk;Chełm
No Name;supermarket;54.4155953;18.5979086;Gdańsk;Przymorze Wielkie
Biedronka;supermarket;54.3553014;18.6503589;Gdańsk;Śródmieście
Eurospar;supermarket;54.3770118;18.6074553;Gdańsk;Wrzeszcz Górny
Biedronka;supermarket;54.261147;18.6383328;Pruszcz Gdański;Śródmieście
Stokrotka;supermarket;54.3021479;18.5772366;Borkowo;
Carrefour;supermarket;54.3219619;18.5503771;Gdańsk;Jasień
Spar;supermarket;54.3297313;18.6040263;Gdańsk;Chełm
Lidl;supermarket;54.3226414;18.5529299;Gdańsk;Jasień
Biedronka;supermarket;54.3472388;18.6628918;Gdańsk;Śródmieście
Biedronka;supermarket;54.3250123;18.617673;Gdańsk;Orunia Górna - Gdańsk Południe
Max & Xavier;supermarket;54.313937;18.570369;Gdańsk;Ujeścisko - Łostowice
Biedronka;supermarket;54.3510106;18.5561152;Gdańsk;Piecki-Migowo
Biedronka;supermarket;54.4570176;18.552478;Sopot;
E.Leclerc;supermarket;54.4100426;18.5918995;Gdańsk;Przymorze Wielkie
Biedronka;supermarket;54.4692831;18.4687901;Gdynia;Dąbrowa
Netto;supermarket;54.3107981;18.5676141;Kowale;
Brak nazwy;supermarket;54.39327;18.40606;Banino;
Biedronka;supermarket;54.3891766;18.5899493;Gdańsk;Strzyża
Biedronka;supermarket;54.4048801;18.6254803;Gdańsk;Brzeźno
Biedronka;supermarket;54.4910864;18.5422766;Gdynia;Redłowo
Misiek;supermarket;54.4970936;18.4395427;Gdynia;Chwarzno-Wiczlino
Biedronka;supermarket;54.4450078;18.559638;Sopot;
Lewiatan;supermarket;54.3608648;18.7116633;Gdańsk;Stogi
Biedronka;supermarket;54.3547241;18.6462955;Gdańsk;Śródmieście
Lidl;supermarket;54.4330932;18.5625748;Sopot;
Eurospar;supermarket;54.4018185;18.5746007;Gdańsk;Oliwa
Biedronka;supermarket;54.3781194;18.6062493;Gdańsk;Wrzeszcz Górny
Biedronka;supermarket;54.4119539;18.6023153;Gdańsk;Przymorze Wielkie
Biedronka;supermarket;54.3884604;18.6230299;Gdańsk;Wrzeszcz Dolny
Biedronka;supermarket;54.4085342;18.5673522;Gdańsk;Oliwa
Biedronka;supermarket;54.3511862;18.6547489;Gdańsk;Śródmieście
Biedronka;supermarket;54.3817881;18.6083354;Gdańsk;Wrzeszcz Dolny
Biedronka;supermarket;54.3176085;18.5686315;Gdańsk;Ujeścisko - Łostowice
Auchan;supermarket;54.4258779;18.4919627;Gdańsk;Osowa
Netto;supermarket;54.3212646;18.5972519;Gdańsk;Ujeścisko - Łostowice
Auchan;supermarket;54.3511122;18.5255688;Gdańsk;Jasień
Biedronka;supermarket;54.3504043;18.6323501;Gdańsk;Siedlce
Netto;supermarket;54.2697137;18.4685345;Kolbudy;
Livio;supermarket;54.4002395;18.6610529;Gdańsk;Nowy Port
Biedronka;supermarket;54.3379811;18.6258351;Gdańsk;Chełm
Stokrotka;supermarket;54.3415913;18.5617026;Gdańsk;Jasień
Biedronka;supermarket;54.3460254;18.5931979;Gdańsk;Ujeścisko - Łostowice
Polo Market;supermarket;54.4326191;18.4803645;Gdańsk;Osowa
Biedronka;supermarket;54.3376127;18.6126023;Gdańsk;Chełm
Biedronka;supermarket;54.3213969;18.6311909;Gdańsk;Orunia - Święty Wojciech - Lipce
Biedronka;supermarket;54.4126986;18.5915819;Gdańsk;Przymorze Wielkie
Biedronka;supermarket;54.3995993;18.6603358;Gdańsk;Nowy Port
Biedronka;supermarket;54.3994729;18.6694566;Gdańsk;Nowy Port
Biedronka;supermarket;54.3905061;18.6126678;Gdańsk;Zaspa-Rozstaje
Biedronka;supermarket;54.4041641;18.6011225;Gdańsk;Przymorze Wielkie
Carrefour;supermarket;54.3530378;18.5928046;Gdańsk;Siedlce
Lewiatan;supermarket;54.4373557;18.5713306;Sopot;
Max & Xavier;supermarket;54.2754266;18.5854612;Straszyn;
Biedronka;supermarket;54.3932267;18.6178448;Gdańsk;Wrzeszcz Dolny
Max & Xavier;supermarket;54.3591881;18.5775615;Gdańsk;Piecki-Migowo
Delikatesy Mini;supermarket;54.3304359;18.6074032;Gdańsk;Chełm
Max & Xavier;supermarket;54.4427392;18.4162944;Chwaszczyno;
Auchan;supermarket;54.4967259;18.5404157;Gdynia;Redłowo
Biedronka;supermarket;54.4103436;18.573008;Gdańsk;Przymorze Małe
Stokrotka;supermarket;54.3114344;18.5968878;Gdańsk;Orunia Górna - Gdańsk Południe
Lidl;supermarket;54.4096493;18.5683233;Gdańsk;Oliwa
Eurospar;supermarket;54.3485773;18.644142;Gdańsk;Śródmieście
Lidl;supermarket;54.3935028;18.4035701;Banino;
123market.pl;supermarket;54.485833;18.4317255;Gdynia;Chwarzno-Wiczlino
Brak nazwy;supermarket;54.3984768;18.6094804;Gdańsk;Zaspa-Rozstaje
Delikatesy Fart;supermarket;54.2609888;18.625502;Pruszcz Gdański;Śródmieście
Biedronka;supermarket;54.3830897;18.5922132;Gdańsk;Wrzeszcz Górny
Biedronka;supermarket;54.4122189;18.5865321;Gdańsk;Przymorze Małe
Delikatesy Centrum;supermarket;54.2696231;18.6100005;Rotmanka;
Stokrotka;supermarket;54.4128508;18.5976274;Gdańsk;Przymorze Wielkie
Biedronka;supermarket;54.3540676;18.606916;Gdańsk;Suchanino
Biedronka;supermarket;54.3935015;18.402054;Banino;
Mercus;supermarket;54.4572058;18.534704;Sopot;Brodwino
Sieć 34;supermarket;54.4936991;18.5496717;Gdynia;Redłowo
Carrefour;supermarket;54.3827461;18.6006806;Gdańsk;Wrzeszcz Górny
Max & Xavier;supermarket;54.4725369;18.5150986;Gdynia;Mały Kack
ALDI;supermarket;54.3555579;18.6141783;Gdańsk;Suchanino
ALDI;supermarket;54.3554831;18.649445;Gdańsk;Śródmieście
Netto;supermarket;54.3566278;18.6486052;Gdańsk;Śródmieście
EkoSopot;supermarket;54.4378152;18.5712527;Sopot;
Intermarché;supermarket;54.3899413;18.6104913;Gdańsk;Wrzeszcz Dolny
Lewiatan;supermarket;54.3494109;18.612604;Gdańsk;Siedlce
Merkus;supermarket;54.3827278;18.6045825;Gdańsk;Wrzeszcz Dolny
Stokrotka Market;supermarket;54.3337694;18.5425754;Gdańsk;Jasień
Biedronka;supermarket;54.3939582;18.6441654;Gdańsk;Letnica
Delikatesy Fart;supermarket;54.2752796;18.4760347;Kolbudy;
Lewiatan;supermarket;54.2694102;18.4658782;Kolbudy;
Auchan;supermarket;54.3717795;18.5194153;Gdańsk;Matarnia
Biedronka;supermarket;54.4194269;18.4694767;Gdańsk;Osowa
Netto;supermarket;54.4102131;18.6002976;Gdańsk;Przymorze Wielkie
Merkus;supermarket;54.4675013;18.4876321;Gdynia;Wielki Kack
Netto;supermarket;54.2676379;18.6267108;Pruszcz Gdański;Śródmieście
Stokrotka Market;supermarket;54.4989161;18.5080932;Gdynia;Witomino
Stokrotka Market;supermarket;54.40648;18.5843856;Gdańsk;Przymorze Małe
Biedronka;supermarket;54.3966741;18.6053752;Gdańsk;Zaspa-Rozstaje
Sklep Po Drodze limonka;supermarket;54.3639053;18.4345911;Czaple;
ALDI;supermarket;54.4972553;18.4374404;Gdynia;Chwarzno-Wiczlino
Biedronka;supermarket;54.3603981;18.5911574;Gdańsk;Piecki-Migowo
ALDI;supermarket;54.3580834;18.5822656;Gdańsk;Piecki-Migowo
Merkus;supermarket;54.3928551;18.5962922;Gdańsk;Zaspa-Młyniec
Dino;supermarket;54.302059;18.5905632;Borkowo;
Market Kami;supermarket;54.4996495;18.5056894;Gdynia;Witomino
Eurospar;supermarket;54.4046611;18.588443;Gdańsk;Przymorze Małe
Aldi;supermarket;54.4423916;18.5576463;Sopot;
Stokrotka;supermarket;54.489139;18.4275691;Gdynia;Chwarzno-Wiczlino
Drogeria abcKosmetyczne.pl;supermarket;54.3929747;18.6444449;Gdańsk;Letnica
Biedronka;supermarket;54.4615125;18.4504777;Gdynia;Dąbrowa
Biedronka;supermarket;54.3281736;18.6115793;Gdańsk;Chełm
Max & Xavier;supermarket;54.2736457;18.5832812;Straszyn;
Biedronka;supermarket;54.431792;18.4705912;Gdańsk;Osowa
Centrum Medyczne Kardiotel;clinic;54.4335931;18.5672077;Sopot;
Blikpol;clinic;54.4446093;18.5659864;Sopot;
LUXMED;clinic;54.3648117;18.6357133;Gdańsk;Aniołki
Medycyna Rodzinna;clinic;54.3341968;18.591511;Gdańsk;Ujeścisko - Łostowice
Kalina;clinic;54.3522927;18.5136521;Gdańsk;Kokoszki
Oddział Reumatologiczny;clinic;54.4447578;18.5696349;Sopot;
przychodnia przyszpitalna;clinic;54.3501781;18.6351745;Gdańsk;Siedlce
Klinika Medycyny Hiperbarycznej;clinic;54.4888281;18.5503388;Gdynia;Redłowo
Zakład Balneologii / Rehabilitacji;clinic;54.4452435;18.5701006;Sopot;
Wielospecjalistyczny Oddział Zabiegowy;clinic;54.3521803;18.6356032;Gdańsk;Siedlce
Klinika Ginekologii;clinic;54.3654466;18.6217575;Gdańsk;Aniołki
Klinika Położnictwa;clinic;54.3655783;18.6222328;Gdańsk;Aniołki
Klinika Neonatologii;clinic;54.3655868;18.6226858;Gdańsk;Aniołki
ZOZ Trójmiejskie Centrum Medyczne;clinic;54.3818277;18.6113303;Gdańsk;Wrzeszcz Dolny
K2 Medical & Dental Clinic;clinic;54.3838878;18.6081778;Gdańsk;Wrzeszcz Dolny
Profim;clinic;54.3785714;18.6078041;Gdańsk;Wrzeszcz Górny
Wielospecjalistyczna Przychodnia Lekarze Specjaliści;clinic;54.3552353;18.6473549;Gdańsk;Śródmieście
Psychotalerz;clinic;54.4993405;18.4396275;Gdynia;Chwarzno-Wiczlino
Pure Perfection;clinic;54.4998696;18.4326456;Gdynia;Chwarzno-Wiczlino
